analysis_id,2m0ce0viu1p3a12
mouse_life_stage,Early adult
pvalue,0.8635874
parameter_id,JAXLA_OFD_017_001
mouse_strain,C57BL
gene_symbol,Ufc1
gene_accession_id,MGI:1913405
parameter_name,Center average speed
