gene_symbol,Pum1
mouse_life_stage,Early adult
parameter_name,UIBC (unsaturated iron binding capacity)
gene_accession_id,MGI:1931749
parameter_id,IMPC_CBC_024_001
mouse_strain,C57BL
pvalue,0.1614032
analysis_id,o33mfra31c79fr6
