analysis_id,jgmluoe874q6306
mouse_life_stage,Early adult
mouse_strain,129SV
parameter_name,B2B Cells
gene_accession_id,MGI:1918025
gene_symbol,Zmynd8
parameter_id,IMPC_IMM_065_001
pvalue,0.7270049
