gene_symbol,Maco1
mouse_strain,C57BL
parameter_id,MGP_PBI_038_001
pvalue,0.3548852
mouse_life_stage,Early adult
parameter_name,Ly6Clow monocyte number
analysis_id,1444ia37nbs2wb4
gene_accession_id,MGI:1913396
