parameter_name,Neutrophil cell count
parameter_id,IMPC_HEM_030_001
pvalue,0.3556405
gene_accession_id,MGI:1915087
gene_symbol,Tiprl
mouse_life_stage,E9.5
analysis_id,7o75ix7a9142944
mouse_strain,C57BL
