gene_symbol,Cisd2
parameter_id,JAXLA_DXA_007_001
gene_accession_id,MGI:1914256
mouse_strain,C57BL
pvalue,0.5540859
parameter_name,BMC/Body weight
mouse_life_stage,Early adult
analysis_id,744x2aj6xbne812
