gene_symbol,Casq1
parameter_id,IMPC_CSD_070_001
gene_accession_id,MGI:1309468
pvalue,0.2338955
mouse_life_stage,Early adult
analysis_id,p55a3161w68vt6m
mouse_strain,C57BL
parameter_name,Lower teeth appearance
