parameter_name,Spleen weight
mouse_life_stage,Early adult
parameter_id,UCD_OWT_003_001
analysis_id,z0w67srjlclx490
pvalue,0.8019739
gene_symbol,Ahctf1
gene_accession_id,MGI:1915033
mouse_strain,C57BL
