analysis_id,r311nv03gs47q94
gene_symbol,Rufy4
parameter_id,IMPC_CBC_009_001
parameter_name,Calcium
pvalue,0.2259073
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:3588214
