analysis_id,ir03m29i9591psc
mouse_strain,C57BL
pvalue,0.9332033
mouse_life_stage,E9.5
gene_symbol,Slc39a10
parameter_name,Weight
gene_accession_id,MGI:1914515
parameter_id,CCP_LFO_001_001
