gene_symbol,Kdm5b
parameter_id,JAXLA_HBD_001_001
analysis_id,3h0o9flm4kko7h0
pvalue,0.5287474
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1922855
parameter_name,Total holepokes
