analysis_id,uymy380l2y7g16d
pvalue,0.1254633
mouse_strain,C57BL
parameter_id,IMPC_ECH_003_001
mouse_life_stage,Early adult
gene_accession_id,MGI:109384
parameter_name,Stroke Volume
gene_symbol,Atf3
