parameter_id,IMPC_GPP_004_001
gene_symbol,Bach2
mouse_life_stage,Early adult
gene_accession_id,MGI:894679
mouse_strain,C57BL
analysis_id,89ndek6xyu989o0
pvalue,0.8238222
parameter_name,Placenta Size
