mouse_life_stage,Early adult
analysis_id,0mx2c01080un5d5
mouse_strain,C57BL
gene_symbol,Kcng1
parameter_name,CD8+ CD44+ CD62L- alpha beta effector T cell number
parameter_id,MGP_PBI_030_001
pvalue,0.09204183
gene_accession_id,MGI:3616086
