parameter_name,Embryo turning
gene_symbol,Rap2b
pvalue,0.6484969
parameter_id,IMPC_GEL_011_001
gene_accession_id,MGI:1921262
mouse_strain,C57BL
analysis_id,4009b7d31528jaw
mouse_life_stage,Early adult
