analysis_id,f3cjvcqggefiy6u
gene_symbol,Bcs1l
mouse_strain,C57BL
pvalue,0.781614
gene_accession_id,MGI:1914071
mouse_life_stage,Early adult
parameter_id,JAXLA_OFD_020_001
parameter_name,Distance travelled - total
