analysis_id,nr97yf15jldf081
mouse_life_stage,Early adult
gene_accession_id,MGI:3033992
pvalue,0.6182793
parameter_name,Follicular B cells - % of CD45+
gene_symbol,Cldn19
mouse_strain,C57BL
parameter_id,MGP_IMM_112_001
