analysis_id,91e3e5838ey9748
parameter_name,Distance travelled - total
gene_symbol,Dmap1
mouse_life_stage,E12.5
gene_accession_id,MGI:1913483
parameter_id,JAXLA_OFD_020_001
pvalue,0.8379201
mouse_strain,C57BL
