parameter_name,Creatinine
analysis_id,48c3f30o407n562
gene_accession_id,MGI:1924360
pvalue,0.7446219
mouse_strain,C57BL
parameter_id,IMPC_CBC_005_001
gene_symbol,Gpbp1l1
mouse_life_stage,Early adult
