parameter_name,Placenta Size
parameter_id,IMPC_GPP_004_001
pvalue,0.760228
gene_symbol,Mov10
gene_accession_id,MGI:97054
analysis_id,507vb40k09o8c71
mouse_life_stage,Early adult
mouse_strain,C57BL
