parameter_name,Total T cell percentage
gene_symbol,Atrn
mouse_life_stage,Early adult
gene_accession_id,MGI:1341628
parameter_id,MGP_PBI_001_001
analysis_id,h0dy72d9eql342e
mouse_strain,C57BL
pvalue,0.2712947
