gene_symbol,Ap5s1
mouse_strain,C57BL
pvalue,0.9256899
parameter_id,MGP_IMM_048_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1916846
parameter_name,Follicular B cells - % of B2 cells
analysis_id,08mo39dj1f01966
