analysis_id,yj0720244s7s3t8
mouse_strain,C57BL
parameter_name,Head coat/hair presence
mouse_life_stage,Early adult
gene_accession_id,MGI:1914050
gene_symbol,Trp53rkb
parameter_id,MGP_CSD_015_001
pvalue,0.06472465
