parameter_id,HMGULA_GRS_008_001
gene_symbol,Hpca
gene_accession_id,MGI:1336200
analysis_id,tth9j055q33hp5a
parameter_name,Forelimb grip strength measurement mean
mouse_life_stage,Late adult
pvalue,0.9445471
mouse_strain,C57BL
