gene_symbol,Npbwr1
analysis_id,u0vj9n1q4ed08ho
parameter_id,ESLIM_016_001_005
mouse_life_stage,Early adult
gene_accession_id,MGI:891989
parameter_name,Mean cell volume
mouse_strain,C57BL
pvalue,0.9002555
