gene_symbol,Psd4
parameter_id,MGP_MLN_010_001
mouse_life_stage,Early adult
analysis_id,ud2n79jn8su8094
pvalue,0.3554375
gene_accession_id,MGI:2674093
parameter_name,Resting Treg cells - % of Treg
mouse_strain,C57BL
