parameter_id,HRWLLA_FEA_015_001
gene_symbol,Pum1
analysis_id,l7s5y53zov35i8t
mouse_life_stage,Early adult
pvalue,0.1598192
gene_accession_id,MGI:1931749
mouse_strain,C57BL
parameter_name,Cue Baseline % Freezing Time
