analysis_id,jhzcce55tfkqr9i
parameter_id,MGP_PBI_015_001
gene_symbol,Zfp683
parameter_name,IgD+ mature B cell percentage
mouse_strain,C57BL
pvalue,0.9477608
mouse_life_stage,Early adult
gene_accession_id,MGI:3650254
