gene_symbol,Il1r1
pvalue,0.2415739
mouse_life_stage,Early adult
gene_accession_id,MGI:96545
parameter_id,IMPC_IMM_004_001
mouse_strain,C57BL
parameter_name,NKT cells (panel A)
analysis_id,4ijv469o4bzx0e6
