analysis_id,3us7j1jnh25i8mh
parameter_id,IMPC_HEM_030_001
pvalue,0.7990226
parameter_name,Neutrophil cell count
gene_symbol,Lcn2
mouse_life_stage,Early adult
gene_accession_id,MGI:96757
mouse_strain,C57BL
