parameter_name,Eyelid morphology
gene_accession_id,MGI:99501
pvalue,0.912339
mouse_life_stage,Early adult
gene_symbol,Fgb
analysis_id,64zr48i251op6t9
parameter_id,IMPC_EYE_004_001
mouse_strain,C57BL
