parameter_name,Retina (combined)
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Rnf114
analysis_id,e8r8ofg750dz47d
parameter_id,IMPC_EYE_092_002
pvalue,0.6676354
gene_accession_id,MGI:1933159
