gene_symbol,Tatdn3
mouse_life_stage,Early adult
analysis_id,z1t4a1p9l51ku8q
pvalue,0.8078757
gene_accession_id,MGI:1916222
mouse_strain,C57BL
parameter_name,BMC/Body weight
parameter_id,HRWLLA_DXA_007_001
