analysis_id,z75vz86xg912273
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Eosinophil number
gene_symbol,Tnfsf8
gene_accession_id,MGI:88328
pvalue,0.1995256
parameter_id,MGP_PBI_040_001
