gene_symbol,1700019D03Rik
parameter_name,Difference in Cue Tone and Cue Baseline % Freezing
parameter_id,IMPC_FEA_106_001
gene_accession_id,MGI:1914330
mouse_strain,C57BL
pvalue,0.769653
analysis_id,8k8oh7621119s4d
mouse_life_stage,Early adult
