parameter_name,NKT cells (panel A)
parameter_id,IMPC_IMM_004_001
analysis_id,f0j6n471ezps41p
mouse_life_stage,Early adult
gene_accession_id,MGI:1338022
mouse_strain,C57BL
pvalue,0.2670961
gene_symbol,Opn3
