analysis_id,v4bn4yv75d1p5iz
gene_accession_id,MGI:2673000
parameter_id,IMPC_GEL_028_001
pvalue,0.7540136
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Forebrain
gene_symbol,Trim46
