gene_symbol,Sla2
gene_accession_id,MGI:1925049
analysis_id,ef8yv76w056e382
parameter_id,IMPC_CBC_011_001
parameter_name,Iron
mouse_strain,C57BL
pvalue,0.2362825
mouse_life_stage,Early adult
