parameter_name,Vitreous
gene_symbol,Etfdh
gene_accession_id,MGI:106100
analysis_id,6b3x9o303px20i1
mouse_strain,C57BL
pvalue,0.1662887
mouse_life_stage,Early adult
parameter_id,UCDLA_EYE_083_001
