analysis_id,g7511w0pl5xi7dq
gene_accession_id,MGI:1332236
parameter_id,IMPC_CBC_024_001
parameter_name,UIBC (unsaturated iron binding capacity)
pvalue,0.2591909
gene_symbol,Cds2
mouse_life_stage,Early adult
mouse_strain,129SV
