pvalue,1.540846e-06
analysis_id,fr37u26gf44528y
mouse_life_stage,Early adult
parameter_id,M-G-P_009_001_003
parameter_name,Body weight
gene_accession_id,MGI:1923959
mouse_strain,C57BL
gene_symbol,Arpc2
