analysis_id,39273ex396c64fz
parameter_id,M-G-P_007_001_010
gene_symbol,Psd4
parameter_name,center - distance
pvalue,0.3871888
mouse_life_stage,Early adult
gene_accession_id,MGI:2674093
mouse_strain,C57BL
