analysis_id,1614jl562n1j33y
parameter_name,Head morphology
gene_symbol,Tiprl
gene_accession_id,MGI:1915087
pvalue,0.8973572
mouse_strain,C57BL
parameter_id,MGP_CSD_064_001
mouse_life_stage,Early adult
