gene_symbol,Ivd
mouse_life_stage,Early adult
parameter_name,eye size
gene_accession_id,MGI:1929242
parameter_id,ESLIM_001_001_117
pvalue,0.7043961
analysis_id,1vw5126hbv08x3w
mouse_strain,C57BL
