parameter_name,center - resting time
pvalue,0.851023
parameter_id,M-G-P_007_001_011
mouse_strain,C57BL
gene_accession_id,MGI:2446186
gene_symbol,Lpgat1
mouse_life_stage,E18.5
analysis_id,r77w1uljt0c2d66
