analysis_id,1d1yfn1cj2w49r6
mouse_life_stage,Early adult
gene_accession_id,MGI:1922855
mouse_strain,C57BL
parameter_id,MGP_IMM_081_001
pvalue,0.2514563
parameter_name,Effector CD8+ T cells - % of CD45+
gene_symbol,Kdm5b
