parameter_name,Periphery permanence time
mouse_life_stage,Middle aged adult
gene_symbol,Secisbp2l
gene_accession_id,MGI:1917604
mouse_strain,C57BL
pvalue,0.6989027
analysis_id,vdy37ivzf46x787
parameter_id,JAX_OFD_012_001
