mouse_strain,129SV
pvalue,0.1460456
parameter_id,MGP_PBI_009_001
parameter_name,CD4+ CD44+ CD62L- alpha beta effector T cell percentage
mouse_life_stage,Early adult
analysis_id,t98uv96xviu370m
gene_accession_id,MGI:2385884
gene_symbol,Ddx27
