gene_symbol,F2
parameter_name,B2B Cells
analysis_id,4z5lewpo5n62w21
pvalue,0.1369013
mouse_strain,C57BL
gene_accession_id,MGI:88380
mouse_life_stage,Early adult
parameter_id,IMPC_IMM_065_001
