parameter_id,CCP_XRY_001_001
parameter_name,Skull shape
gene_symbol,Mgst2
gene_accession_id,MGI:2448481
mouse_life_stage,Early adult
pvalue,0.05057124
analysis_id,6683ous719lrb12
mouse_strain,C57BL
