parameter_name,Total holepokes
mouse_strain,C57BL
analysis_id,ul55888ub11gm22
pvalue,0.6205043
mouse_life_stage,Early adult
parameter_id,JAXLA_HBD_001_001
gene_symbol,Exd1
gene_accession_id,MGI:3045306
