gene_symbol,Nemp2
mouse_strain,C57BL
analysis_id,4i0wbkzz19787sj
gene_accession_id,MGI:2444113
mouse_life_stage,Early adult
parameter_name,Coat - hair texture / appearance - abdomen
pvalue,0.1840778
parameter_id,IMPC_CSD_016_001
