parameter_id,MGP_IMM_006_001
gene_accession_id,MGI:1888742
parameter_name,Effector CD4+ T helper cells - % of CD4+ T helper cells
analysis_id,749tm8437lf332h
mouse_life_stage,Early adult
gene_symbol,Extl1
mouse_strain,C57BL
pvalue,0.8259603
