gene_symbol,Zyg11b
mouse_life_stage,E18.5
analysis_id,azh44367915x0l4
mouse_strain,C57BL
parameter_id,IMPC_IMM_055_001
parameter_name,NK Subsets (Q2)
pvalue,0.7536671
gene_accession_id,MGI:2685277
