parameter_name,Hindlimbs - size
mouse_life_stage,Early adult
gene_symbol,Ola1
parameter_id,JAXLA_CSD_022_001
pvalue,0.7899935
mouse_strain,C57BL
gene_accession_id,MGI:1914309
analysis_id,hmf71k3bb79n6kt
