analysis_id,vbmtj816925b040
pvalue,0.869376
mouse_strain,C57BL
parameter_name,110dB startle magnitude
parameter_id,ESLIM_011_001_006
mouse_life_stage,Early adult
gene_symbol,Frmpd1
gene_accession_id,MGI:2446274
