gene_symbol,Lcn2
pvalue,0.6806282
parameter_id,ESLIM_011_001_702
mouse_life_stage,Early adult
gene_accession_id,MGI:96757
parameter_name,Prepulse inhibition - PP2
mouse_strain,C57BL
analysis_id,fp50qlxan8o64e5
