analysis_id,r4w5j851c15iat2
gene_accession_id,MGI:1931322
parameter_id,IMPC_CSD_028_001
mouse_strain,C57BL
parameter_name,Snout size
gene_symbol,Car13
pvalue,0.1420293
mouse_life_stage,Early adult
