gene_symbol,Fam163a
mouse_strain,C57BL
analysis_id,0toia0k8qhh5q55
gene_accession_id,MGI:3618859
mouse_life_stage,Early adult
parameter_name,Corneal opacity
parameter_id,IMPC_EYE_008_001
pvalue,0.2234343
