gene_symbol,Arpc5l
parameter_id,MGP_CSD_025_001
mouse_life_stage,Early adult
parameter_name,Ventral coat/hair presence
mouse_strain,C57BL
pvalue,0.6198954
gene_accession_id,MGI:1921442
analysis_id,6w78w18eyrgr030
