gene_symbol,Ola1
analysis_id,eu48es6ihu5y8mh
parameter_id,MGP_BMI_006_001
parameter_name,Immature B cells (Hardy fraction E) - % of B220+
mouse_life_stage,Early adult
gene_accession_id,MGI:1914309
mouse_strain,C57BL
pvalue,0.7637815
