parameter_name,B cell number
pvalue,0.8464501
analysis_id,oq883w37d8c89r3
gene_symbol,Hrnr
gene_accession_id,MGI:3046938
parameter_id,MGP_PBI_034_001
mouse_strain,C57BL
mouse_life_stage,Early adult
