analysis_id,806k51l5999n3h5
mouse_strain,C57BL
parameter_id,ESLIM_016_001_002
parameter_name,Red blood cell count
gene_symbol,Rab3gap2
gene_accession_id,MGI:1916043
pvalue,0.8891332
mouse_life_stage,Early adult
