parameter_name,Bone Mineral Content
parameter_id,ESLIM_005_001_005
gene_symbol,Nucks1
mouse_life_stage,Late adult
mouse_strain,C57BL
analysis_id,435w9053jqzzq07
pvalue,0.9874943
gene_accession_id,MGI:1934811
